model_key,method,doc_id,prediction,correct
gemma2,fp16,0,18,1
gemma2,fp16,4,20,1
gemma2,fp16,6,260,1
gemma2,fp16,11,694,1
gemma2,fp16,14,60,1
gemma2,fp16,15,4,0
gemma2,fp16,16,310,0
gemma2,fp16,20,14.67,0
gemma2,fp16,21,2,0
gemma2,fp16,22,7,1
gemma2,fp16,24,26.00,0
gemma2,fp16,25,2,1
gemma2,fp16,31,80,1
gemma2,fp16,32,35,1
gemma2,fp16,34,23,1
gemma2,fp16,35,9,1
gemma2,fp16,37,13,0
gemma2,fp16,38,20,0
gemma2,fp16,42,26,1
gemma2,fp16,43,5,0
gemma2,fp16,45,44,0
gemma2,fp16,47,800,1
gemma2,fp16,48,8,1
gemma2,fp16,50,294,1
gemma2,fp16,52,15,1
gemma2,fp16,54,30,0
gemma2,fp16,59,187,1
gemma2,fp16,60,17,1
gemma2,fp16,62,75000,0
gemma2,fp16,64,300,1
gemma2,fp16,65,4,0
gemma2,fp16,67,595,1
gemma2,fp16,68,36,1
gemma2,fp16,72,221,1
gemma2,fp16,73,3,0
gemma2,fp16,74,85.85,0
gemma2,fp16,75,7.5,0
gemma2,fp16,78,6.00,0
gemma2,fp16,82,623,1
gemma2,fp16,86,22,1
gemma2,fp16,87,960,0
gemma2,fp16,88,8000,1
gemma2,fp16,89,18,0
gemma2,fp16,91,28,1
gemma2,fp16,96,3,1
gemma2,fp16,100,115,0
gemma2,fp16,102,15,0
gemma2,fp16,105,20,1
gemma2,fp16,106,357,0
gemma2,fp16,107,30,0
gemma2,fp16,111,6.4,0
gemma2,fp16,117,360,1
gemma2,fp16,118,6,0
gemma2,fp16,119,4301.54,0
gemma2,fp16,125,14,0
gemma2,fp16,126,82,1
gemma2,fp16,129,130000,0
gemma2,fp16,130,30,1
gemma2,fp16,139,70,1
gemma2,fp16,142,140,1
gemma2,fp16,143,15,0
gemma2,fp16,152,4.00,0
gemma2,fp16,154,112,0
gemma2,fp16,157,140,0
gemma2,fp16,158,34.00,0
gemma2,fp16,160,16,1
gemma2,fp16,162,36,0
gemma2,fp16,163,34,0
gemma2,fp16,164,15,1
gemma2,fp16,165,77,1
gemma2,fp16,168,18,1
gemma2,fp16,169,120,1
gemma2,fp16,170,150,1
gemma2,fp16,172,52,0
gemma2,fp16,173,18000,1
gemma2,fp16,174,95,1
gemma2,fp16,175,15,1
gemma2,fp16,178,122,1
gemma2,fp16,179,130,1
gemma2,fp16,180,20,1
gemma2,fp16,183,38,0
gemma2,fp16,184,1,0
gemma2,fp16,188,40,0
gemma2,fp16,189,34.00,0
gemma2,fp16,193,-12,0
gemma2,fp16,194,10,1
gemma2,fp16,197,6277,1
gemma2,fp16,198,220,0
gemma2,fp16,201,114200,1
gemma2,fp16,202,100,1
gemma2,fp16,203,28,0
gemma2,fp16,204,98,1
gemma2,fp16,217,15,1
gemma2,fp16,219,44,0
gemma2,fp16,221,90,1
gemma2,fp16,228,1,1
gemma2,fp16,229,21,1
gemma2,fp16,231,50,1
gemma2,fp16,238,68,1
gemma2,fp16,242,1.11,0
gemma2,fp16,243,250,1
gemma2,fp16,244,3,0
gemma2,fp16,246,27000,1
gemma2,fp16,249,5600,1
gemma2,fp16,251,70,1
gemma2,fp16,252,10,0
gemma2,fp16,255,160,0
gemma2,fp16,258,6.00,0
gemma2,fp16,259,144,0
gemma2,fp16,260,11,1
gemma2,fp16,267,53,0
gemma2,fp16,272,5.00,0
gemma2,fp16,279,6,1
gemma2,fp16,281,2450,1
gemma2,fp16,285,3,0
gemma2,fp16,288,3,1
gemma2,fp16,290,390,1
gemma2,fp16,292,75,1
gemma2,fp16,298,600,0
gemma2,fp16,302,15,1
gemma2,fp16,303,4000,0
gemma2,fp16,304,800,0
gemma2,fp16,305,4,1
gemma2,fp16,306,10,1
gemma2,fp16,313,3000,0
gemma2,fp16,318,123,1
gemma2,fp16,319,11.25,0
gemma2,fp16,320,5,0
gemma2,fp16,322,70,0
gemma2,fp16,328,6.67,0
gemma2,fp16,331,8400,1
gemma2,fp16,333,100,1
gemma2,fp16,335,310,1
gemma2,fp16,337,1,1
gemma2,fp16,339,160,1
gemma2,fp16,340,0,0
gemma2,fp16,341,210,0
gemma2,fp16,342,87,1
gemma2,fp16,343,180000,1
gemma2,fp16,347,36,1
gemma2,fp16,351,-10,0
gemma2,fp16,355,34,1
gemma2,fp16,357,6,0
gemma2,fp16,358,20.00,0
gemma2,fp16,364,49,1
gemma2,fp16,367,20,0
gemma2,fp16,368,24,0
gemma2,fp16,370,320,1
gemma2,fp16,372,5,1
gemma2,fp16,373,240000,1
gemma2,fp16,379,21,1
gemma2,fp16,383,14,0
gemma2,fp16,384,21.33,0
gemma2,fp16,385,26,0
gemma2,fp16,387,36,1
gemma2,fp16,388,88,1
gemma2,fp16,389,6,1
gemma2,fp16,396,3,1
gemma2,fp16,402,1,0
gemma2,fp16,403,1350,0
gemma2,fp16,406,300,0
gemma2,fp16,407,7000,0
gemma2,fp16,412,5,1
gemma2,fp16,417,1940,0
gemma2,fp16,419,6000,0
gemma2,fp16,420,13000,0
gemma2,fp16,421,12,1
gemma2,fp16,426,11,1
gemma2,fp16,429,7,0
gemma2,fp16,430,132.00,0
gemma2,fp16,432,30,1
gemma2,fp16,438,2.00,0
gemma2,fp16,439,16,0
gemma2,fp16,441,80,1
gemma2,fp16,443,10,0
gemma2,fp16,446,2,1
gemma2,fp16,447,5,1
gemma2,fp16,448,539,1
gemma2,fp16,452,50,1
gemma2,fp16,453,8800,0
gemma2,fp16,455,1920,1
gemma2,fp16,458,35,1
gemma2,fp16,459,2,1
gemma2,fp16,468,70,0
gemma2,fp16,469,4,1
gemma2,fp16,471,80,1
gemma2,fp16,474,80,1
gemma2,fp16,475,11.43,0
gemma2,fp16,482,26,1
gemma2,fp16,483,40,1
gemma2,fp16,484,240,1
gemma2,fp16,494,48,0
gemma2,fp16,496,50,0
gemma2,fp16,497,224,0
gemma2,fp16,498,40,1
gemma2,fp16,499,10,1
gemma2,fp16,502,26,1
gemma2,fp16,504,2,1
gemma2,fp16,506,144.00,0
gemma2,fp16,507,2.00,0
gemma2,fp16,508,120,1
gemma2,fp16,509,1,0
gemma2,fp16,513,300,1
gemma2,fp16,521,39,1
gemma2,fp16,527,5,0
gemma2,fp16,530,8,0
gemma2,fp16,534,486,0
gemma2,fp16,535,11,0
gemma2,fp16,536,8,1
gemma2,fp16,537,188,1
gemma2,fp16,538,18,1
gemma2,fp16,539,40,0
gemma2,fp16,542,7.00,0
gemma2,fp16,544,80,1
gemma2,fp16,546,91,0
gemma2,fp16,549,200,0
gemma2,fp16,550,18.45,0
gemma2,fp16,551,17.00,0
gemma2,fp16,553,92,1
gemma2,fp16,555,80,0
gemma2,fp16,560,45,1
gemma2,fp16,568,150,0
gemma2,fp16,574,10.00,0
gemma2,fp16,575,36.00,0
gemma2,fp16,579,7,1
gemma2,fp16,583,136,0
gemma2,fp16,587,0,0
gemma2,fp16,590,126,0
gemma2,fp16,592,1,1
gemma2,fp16,595,3,0
gemma2,fp16,599,48,1
gemma2,fp16,600,10,1
gemma2,fp16,601,82,0
gemma2,fp16,602,2000,0
gemma2,fp16,610,67560,0
gemma2,fp16,614,312.00,0
gemma2,fp16,615,33.00,0
gemma2,fp16,616,3,0
gemma2,fp16,620,1509,1
gemma2,fp16,622,7.5,0
gemma2,fp16,627,54,1
gemma2,fp16,629,1750,0
gemma2,fp16,630,10,1
gemma2,fp16,632,45,1
gemma2,fp16,644,29,1
gemma2,fp16,645,48,1
gemma2,fp16,646,79,1
gemma2,fp16,648,28,0
gemma2,fp16,652,45,0
gemma2,fp16,654,2,1
gemma2,fp16,657,330000,1
